"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","DocketUrl"
"LAX93LA109","ACC","27917","1993-01-31T22:30:00Z","COLUMBIA","California","United States",,"N16SC","false","Aviation","DirectorBrief","1993-11-15T05:00:00Z","None","0","0","0","THE PILOT'S FAILURE TO MAINTAIN A PROPER GLIDEPATH WHILE ON SHORT FINAL APPROACH. A FACTOR IN THE ACCIDENT WAS THE DARK NIGHT LIGHTING CONDITIONS WHICH MAY HAVE AFFECTED THE PILOT'S PERCEPTUAL AWARENESS OF THE AIRPORT ENVIRONMENT AND THE CUES FOR A PROPER VISUAL APPROACH SLOPE GUIDANCE.",,"https://data.ntsb.gov/Docket?ProjectID=27917"
"CHI93LA082","ACC","15659","1993-01-31T19:00:00Z","WARREN","Minnesota","United States",,"N3571V","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","None","0","0","0","THE PILOT'S INADEQUATE COMPENSATION FOR VARIABLE WIND CONDITIONS DURING LANDING. THE CROSSWIND WAS A FACTOR.",,"https://data.ntsb.gov/Docket?ProjectID=15659"
"BFO93LA024","ACC","11897","1993-01-31T12:58:00Z","LANHAM","Maryland","United States",,"N1383R","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","Serious","0","1","0","THE BLOCKAGE OF THE RIGHT AND LEFT FUEL VENT LINE WHICH PREVENTED THE FLOW OF FUEL TO THE ENGINE CAUSING TOTAL POWER LOSS.",,"https://data.ntsb.gov/Docket?ProjectID=11897"
"SEA93LA058","ACC","42981","1993-01-31T11:45:00Z","BEND","Oregon","United States",,"N56843","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","None","0","0","0","DIRECTIONAL CONTROL NOT MAINTAINED AND GROUND LOOP/SWERVE NOT CORRECTED BY THE PILOT IN COMMAND.",,"https://data.ntsb.gov/Docket?ProjectID=42981"
"FTW93LA078","ACC","18692","1993-01-31T11:30:00Z","LANCASTER","Texas","United States",,"N4312C","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","None","0","0","0","AIRCRAFT CONTROL NOT MAINTAINED BY PILOT. TURBULENCE DUE TO STRONG, GUSTY WINDS WAS A FACTOR",,"https://data.ntsb.gov/Docket?ProjectID=18692"
"DEN93LA026","ACC","18272","1993-01-31T09:45:00Z","DURANGO","Colorado","United States",,"N3581T","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","None","0","0","0","PARTIAL FAILURE OF THE BALLOON'S BURNER FOR UNDETERMINED REASONS.  A FACTOR WAS:  UNFAVORABLE WIND.",,"https://data.ntsb.gov/Docket?ProjectID=18272"
"LAX93LA108","ACC","27916","1993-01-30T22:25:00Z","DOUGLAS","Arizona","United States",,"N3980Y","false","Aviation","DirectorBrief","1993-11-15T05:00:00Z","None","0","0","0","THE PILOT'S SELECTION OF THE WRONG RUNWAY BASED ON INACCURATE WIND INFORMATION.",,"https://data.ntsb.gov/Docket?ProjectID=27916"
"CHI93LA080","ACC","15657","1993-01-30T16:30:00Z","SLAYTON","Minnesota","United States",,"N2440U","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","None","0","0","0","THE PILOT'S INADEQUATE COMPENSATION FOR THE CROSSWIND CONDITION. THE CROSSWIND WAS A FACTOR.",,"https://data.ntsb.gov/Docket?ProjectID=15657"
"NYC93LA057","ACC","37292","1993-01-30T15:37:00Z","HAGERSTOWN","Maryland","United States",,"N5725G","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","Minor","0","0","2","THE FAILURE OF THE FLIGHT INSTRUCTOR TO ADEQUATELY SUPERVISE THE STUDENT PILOT, AND TAKE CONTROL OF THE AIRPLANE IN A TIMELY MANNER WHICH RESULTED IN THE AIRPLANE DEPARTING THE RUNWAY AND STRIKING A TOWER.  FACTORS RELATED TO THE ACCIDENT WERE THE IMPROPER USE OF THE FLIGHT CONTROLS BY THE STUDENT PILOT AND THE CROSS WIND.",,"https://data.ntsb.gov/Docket?ProjectID=37292"
"SEA93LA059","ACC","42982","1993-01-30T11:15:00Z","INGLEWOOD","Washington","United States",,"N5391R","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","None","0","0","0","FUEL EXHAUSTION, THE PILOT IN COMMAND'S INADEQUATE PREFLIGHT, AND HIS FAILURE TO FLARE ON LANDING. A FACTOR CONTRIBUTING TO THE ACCIDENT WAS FOG.",,"https://data.ntsb.gov/Docket?ProjectID=42982"
"CHI93LA083","ACC","15660","1993-01-30T09:10:00Z","BARRINGTON","Illinois","United States",,"N29515","false","Aviation","DirectorBrief","1993-11-03T05:00:00Z","None","0","0","0","LOSS OF ENGINE POWER DUE TO FUEL CONTAMINATION.",,"https://data.ntsb.gov/Docket?ProjectID=15660"
"LAX93LA296","ACC","28432","1993-01-30T07:45:00Z","CHANDLER","Arizona","United States",,"N128TC","false","Aviation","DirectorBrief","1994-09-26T04:00:00Z","Serious","0","1","0","The pilot's failure to adequately evaluate the weather conditions and subsequent uncontrolled touchdown resulting in a hard landing.  Gusty wind conditions were a factor in the accident.",,"https://data.ntsb.gov/Docket?ProjectID=28432"
"FTW93LA077","ACC","18691","1993-01-29T19:40:00Z","MARFA","Texas","United States",,"N363N","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","None","0","0","0","THE PILOT'S CONTINUED DESCENT BELOW THE PROPER ALTITUDE. FACTORS WERE THE DARK NIGHT, FOG, AND THE CREW'S POOR COORDINATION.",,"https://data.ntsb.gov/Docket?ProjectID=18691"
"LAX93LA107","ACC","27915","1993-01-29T17:00:00Z","PARKS","Arizona","United States",,"N855B","false","Aviation","DirectorBrief","1993-11-15T05:00:00Z","Serious","0","2","0","1) THE PILOT NOT OBTAINING FORECAST WEATHER FOR HIS ROUTE OF FLIGHT NOR HIS DESTINATION 2) THE PILOT'S INFLIGHT DECISION TO FLY INTO SNOW WITH THE HELICOPTER'S ENGINE AIR INDUCTION PARTICLE SEPARATOR KIT NOT INSTALLED, AS REQUIRED BY THE BELL 206B PILOT'S OPERATING HANDBOOK, AND 3) THE PILOT'S IN FLIGHT DECISION TO TURN THE ENGINE ANTI ICE TO THE OFF POSITION.  A FACTOR IN THIS ACCIDENT WAS THE UNSUITABLE TERRAIN THE PILOT WAS FLYING OVER WHEN THE ENGINE LOST POWER.  THIS UNSUITABLE TERRAIN CAUSED THE PILOT TO USE COLLECTIVE PITCH TO CLEAR TREES RESULTING IN INSUFFICIENT ROTOR RPM TO CUSHION THE LANDING TOUCHDOWN.",,"https://data.ntsb.gov/Docket?ProjectID=27915"
"CHI93LA081","ACC","15658","1993-01-29T16:45:00Z","SOUTH ST. PAUL","Minnesota","United States",,"N2375P","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","None","0","0","0","THE PILOT'S INADEQUATE COMPENSATION FOR THE EXISTING CROSSWIND CONDITION. THE CROSSWIND WAS A FACTOR.",,"https://data.ntsb.gov/Docket?ProjectID=15658"
"SEA93LA065","ACC","42988","1993-01-29T13:45:00Z","HUNTINGTON","Utah","United States",,"N8540T","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","None","0","0","0","THE IMPROPER IN FLT DECISION BY THE PILOT IN COMMAND TO LAND ON AN AIRSTRIP UNSUITABLE FOR LANDING.  A FACTOR RELATING TO THE ACCIDENT WAS THE SOFT SNOW COVERING THE AIRSTRIP.",,"https://data.ntsb.gov/Docket?ProjectID=42988"
"ANC93LA029","ACC","5860","1993-01-29T09:57:00Z","PORT HEIDEN","Alaska","United States",,"N8327S","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","None","0","0","0","THE FAILURE OF THE NUMBER 3 CYLINDER INTAKE VALVE STEM.  A FACTOR IN THE DEGREE OF DAMAGE THE AIRCRAFT SUSTAINED IN THE MISHAP WAS ATTRIBUTABLE TO THE OFF AIRPORT EMERGENCY LANDING ON SHOW COVERED TUNDRA.",,"https://data.ntsb.gov/Docket?ProjectID=5860"
"NYC93LA056","ACC","37291","1993-01-28T21:35:00Z","WEST DOVER","Vermont","United States",,"N40586","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","None","0","0","0","THE PILOT'S FAILURE TO MAINTAIN DIRECTIONAL CONTROL DURING TAKEOFF, AND HIS INADEQUATE REMEDIAL ACTIONS, RESULTING IN A COLLISION WITH A SNOWBANK. FACTORS RELATED TO THE ACCIDENT WERE THE ICE COVERED RUNWAY AND THE SNOWBANK ALONG THE RUNWAY EDGES.",,"https://data.ntsb.gov/Docket?ProjectID=37291"
"MIA93LA056","ACC","33221","1993-01-28T14:45:00Z","APOPKA","Florida","United States",,"N4HF","false","Aviation","DirectorBrief","1994-02-10T05:00:00Z","Fatal","1","0","0","UNDETERMINED.",,"https://data.ntsb.gov/Docket?ProjectID=33221"
"MIA93WA057","INC","33298","1993-01-28T11:50:00Z","GEORGETOWN",,"Guyana",,"N29PB","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=33298"
"DEN93LA024","ACC","18271","1993-01-28T11:46:00Z","DURANGO","Colorado","United States",,"N67492","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","None","0","0","0","POWER LOSS DUE TO WATER CONTAMINATED FUEL.  A FACTOR WAS: UNSUITABLE TERRAIN FOR A FORCED LANDING.",,"https://data.ntsb.gov/Docket?ProjectID=18271"
"MIA93LA054","ACC","33219","1993-01-27T18:17:00Z","PLANTATION","Florida","United States",,"N203CB","false","Aviation","DirectorBrief","1994-02-10T05:00:00Z","Minor","0","0","1","FAILURE OF THE MASTER ROD MAIN BEARING WHICH RESULTED IN LOSS OF ENGINE POWER AND A SUBSEQUENT FORCED LANDING.",,"https://data.ntsb.gov/Docket?ProjectID=33219"
"FTW93LA076","ACC","18690","1993-01-27T17:15:00Z","FORT WORTH","Texas","United States",,"N5414Q","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","None","0","0","0","THE PILOT'S FAILURE TO MAINTAIN DIRECTIONAL CONTROL. A FACTOR WAS THE CROSSWIND",,"https://data.ntsb.gov/Docket?ProjectID=18690"
"SEA93LA057","ACC","42980","1993-01-27T17:15:00Z","RIGGINS","Idaho","United States",,"N8691X","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","None","0","0","0","THE IMPROPER PREFLIGHT PLANNING BY THE PILOT AND HIS FAILURE TO ATTAIN PROPER AIRSPEED FOR TAKEOFF FROM A SHORT STRIP IN TAILWIND WEATHER CONDITIONS.  A FACTOR RELATING TO THE ACCIDENT WAS THE TAILWIND WEATHER CONDITIONS.",,"https://data.ntsb.gov/Docket?ProjectID=42980"
"CHI93LA079","ACC","15656","1993-01-27T15:40:00Z","BUFFALO","Missouri","United States",,"N5322P","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","Serious","0","1","0","THE PILOT'S FAILURE TO REFUEL THE AIRPLANE PRIOR TO FUEL EXHAUSTION.",,"https://data.ntsb.gov/Docket?ProjectID=15656"
"NYC93LA058","ACC","37293","1993-01-27T14:30:00Z","BEDFORD","Pennsylvania","United States",,"N5262H","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","None","0","0","0","THE PILOT ATTEMPTED TO LAND IN A CROSS WIND, LOST CONTROL OF THE AIRPLANE, LANDED OFF THE RUNWAY, SWERVED TOWARDS A HANGER AFTER GOING THREW A SNOW BANK RESULTING IN THE LEFT WING STRIKING THE HANGER.",,"https://data.ntsb.gov/Docket?ProjectID=37293"
"MIA93LA055","ACC","33220","1993-01-27T09:15:00Z","PASCAGOULA","Mississippi","United States",,"N6612C","false","Aviation","DirectorBrief","1994-02-10T05:00:00Z","Minor","0","0","2","LOSS OF ENGINE POWER DUE TO UNDETECTED FOREIGN MATTER CONTAMINATION OF THE ENGINE FUEL CONTROL. THE LACK OF A SUITABLE LANDING AREA WAS A FACOTR IN THE ACCIDENT.",,"https://data.ntsb.gov/Docket?ProjectID=33220"
"CHI93LA077","ACC","15655","1993-01-26T10:00:00Z","MINOCQUA","Wisconsin","United States",,"N37224","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","Minor","0","0","1","THE PILOT'S FAILURE TO PROPERLY ALIGN THE AIRCRAFT WITH THE LANDING AREA.",,"https://data.ntsb.gov/Docket?ProjectID=15655"
"CHI93IA078","INC","15594","1993-01-26T09:52:00Z","DETROIT","Michigan","United States",,"N452US","false","Aviation","DirectorBrief","1994-08-26T04:00:00Z","None","0","0","0","IMPROPER LUBRICATION OF THE HORIZONTAL STABILIZER GEARBOX BY COMPANY MAINTENANCE PERSONNEL. A FACTOR WAS THE MANUFACTURER'S INADEQUATE SERVICE PROCEDURE.",,"https://data.ntsb.gov/Docket?ProjectID=15594"
"CHI93FA075","ACC","15585","1993-01-25T16:54:00Z","WICHITA","Kansas","United States",,"N444TD","false","Aviation","DirectorBrief","1993-11-19T05:00:00Z","Fatal","3","0","0","AN IMPROPER USE OF THE FLIGHT CONTROLS BY THE PILOT-IN-COMMAND.",,"https://data.ntsb.gov/Docket?ProjectID=15585"
"LAX93LA104","ACC","27912","1993-01-25T09:30:00Z","VOLCANO NATL PK","Hawaii","United States",,"N427FH","false","Aviation","DirectorBrief","1994-03-18T05:00:00Z","Fatal","4","0","1","A LOSS OF TAIL ROTOR CONTROL FOR AN UNDETERMINED REASON(S). A FACTOR WHICH CONTRIBUTED TO THE ACCIDENT WAS THE PILOT'S CHOICE OF A HOVER ALTITUDE/POSITION INADEQUATE TO REACH A SHORELINE IN THE EVENT OF AN EMERGENCY. A FACTOR WHICH CONTRIBUTED TO THE SEVERITY OF THE PASSENGERS' INJURIES WAS THE OPERATOR'S FAILURE TO PROVIDE PASSENGERS WITH LIFEVESTS.",,"https://data.ntsb.gov/Docket?ProjectID=27912"
"LAX93FA103","ACC","27822","1993-01-24T17:15:00Z","ELOY","Arizona","United States",,"N2144P","false","Aviation","DirectorBrief","1994-02-28T05:00:00Z","Serious","0","4","0","PARTIAL LOSS OF ENGINE POWER DUE TO FUEL SYSTEM CONTAMINATION AND A PARTIALLY OBSTRUCTED CARBURETOR VENTURI, AND THE PILOT'S FAILURE TO MAINTAIN CONTROL OF THE AIRPLANE. A FACTOR IN THE ACCIDENT WAS THE PILOT'S INADEQUATE PREFLIGHT INSPECTION.",,"https://data.ntsb.gov/Docket?ProjectID=27822"
"SEA93LA056","ACC","42979","1993-01-24T14:30:00Z","BRIGHAM CITY","Utah","United States",,"N39088","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","None","0","0","0","THE LOCATION OF UNMARKED ELECTRICAL TRANSMISSION WIRES OVER A DESIGNATED AIRPORT TAXIWAY.  FACTORS RELATING TO THE ACCIDENT WERE THE PILOT'S LACK OF EXPECTANCY TO ENCOUNTER WIRES ABOVE AN ARPT TAXIWAY, AND HIS DIVERTED ATTENTION DUE TO THE CLOSE PROXIMITY OF THE TAXIWAY TO BUILDINGS AND THE LOOSE DRY SNOW ON THE AIRPORT.",,"https://data.ntsb.gov/Docket?ProjectID=42979"
"LAX93LA106","ACC","27914","1993-01-24T09:15:00Z","SAN JUAN BAUTIS","California","United States",,"N7000J","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","Serious","0","2","0","THE PILOT'S INADEQUATE INFLIGHT PLANNING AND THE UNFAVORABLE WINDS.",,"https://data.ntsb.gov/Docket?ProjectID=27914"
"LAX93LA102","ACC","27911","1993-01-23T17:00:00Z","SEDONA","Arizona","United States",,"N737EA","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","None","0","0","0","THE PILOTS INADEQUATE COMPENSATION FOR THE EXISTING WIND CONDITIONS AND HIS DELAY IN EXECUTING A GO AROUND.  A FACTOR IN THE ACCIDENT WAS THE PILOT'S LACK OF TOTAL EXPERIENCE.",,"https://data.ntsb.gov/Docket?ProjectID=27911"
"CHI93LA076","ACC","15654","1993-01-23T16:20:00Z","STREATOR","Illinois","United States",,"N2248X","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","None","0","0","0","THE PILOT'S FAILURE TO PERFORM A GO-AROUND. THE TAILWIND AND THE PILOT'S SELECTION OF THE DOWNWIND RUNWAY WERE FACTOR.",,"https://data.ntsb.gov/Docket?ProjectID=15654"
"NYC93LA055","ACC","37290","1993-01-23T15:23:00Z","TETERBORO","New Jersey","United States",,"N52491","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","None","0","0","0","THE FAILURE OF THE PILOT TO MAINTAIN DIRECTIONAL CONTROL DURING LANDING WHICH RESULTED IN THE AIRPLANE DEPARTING THE RUNWAY AND NOSING OVER. FACTORS RELATED TO THE ACCIDENT WERE THE CROSSWIND AND THE SOFT TERRAIN ENCOUNTERED BY THE AIRPLANE.",,"https://data.ntsb.gov/Docket?ProjectID=37290"
"MIA93LA053","ACC","33218","1993-01-23T13:25:00Z","GAINESVILLE","Florida","United States",,"N714RG","false","Aviation","DirectorBrief","1994-02-10T05:00:00Z","None","0","0","0","POOR IN-FLIGHT PLANNING DECISION BY THE STUDENT PILOT.  CONTRIBUTING TO THE ACCIDENT WAS HIS APPREHENSION AND LACK OF TOTAL EXPERIENCE IN THE TYPE OF OPERATION.",,"https://data.ntsb.gov/Docket?ProjectID=33218"
"FTW93LA075","ACC","18636","1993-01-23T12:30:00Z","FORT WORTH","Texas","United States",,"N101NZ","false","Aviation","DirectorBrief","1993-10-13T04:00:00Z","None","0","0","0","THE PILOT'S FAILURE TO COMPENSATE FOR THE CROSSWIND. A FACTOR WAS THE CROSSWIND.",,"https://data.ntsb.gov/Docket?ProjectID=18636"
"LAX93LA101","ACC","27910","1993-01-23T10:30:00Z","PALOMAR MTN","California","United States",,"N2335Q","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","None","0","0","0","THE STUDENT PILOT'S INITIAL FAILURE TO MAINTAIN ROTOR RPM DURING THE GO AROUND AND THE INSTRUCTOR'S IMPROPER USE OF THE FLIGHT CONTROLS AND FAILURE TO ADEQUATELY SUPERVISE THE CONDUCT OF THE FLIGHT.",,"https://data.ntsb.gov/Docket?ProjectID=27910"
"FTW93LA074","ACC","18689","1993-01-23T08:45:00Z","BAYTOWN","Texas","United States",,"N73405","false","Aviation","DirectorBrief","1993-10-25T04:00:00Z","None","0","0","0","THE LOSS OF POWER DUE TO A STUCK EXHAUST VALVE IN THE NUMBER 3 CYLINDER",,"https://data.ntsb.gov/Docket?ProjectID=18689"
